id_item,id_seller,item_date_create,user_type_description,title_item,description_item,detail_item,brand_item,model_item,price_item,year_item,year_model_item,state_item,address_item,flg_suspeito
IT0027,SL0092,26/01/2025,não concessionário,Ciclomotor Elétrico 50cc,"Ciclomotor elétrico, ideal para cidade. Super econômico e não precisa de CNH para pilotar.",ciclomotor,Shineray,PT-2,7200,2024,2024,BA,"Av. Tancredo Neves, 300, Salvador, 41820-021",1
IT0028,SL0133,28/01/2025,concessionário,Vendo Ambulância Renault Master,"Ambulância usada, tipo A, com todos os equipamentos básicos. Para mais detalhes, ligue para nossa loja. Renault Master L2H2 furgão.",furgão,Renault,Master,115000,2018,2018,MG,"Av. do Contorno, 1500, Belo Horizonte, 30110-005",1
IT0018,SL1055,18/01/2025,não concessionário,Kart de Competição Thunder,"Kart para competição, motor preparado, pronto para a pista. Usado apenas em 3 corridas.",motoneta,Yamaha,NMAX 160,28000,2023,2023,SP,"Av. Interlagos, 500, São Paulo, 04777-000",1
IT0009,SL1122,10/01/2025,concessionário,Fiat Strada Freedom 1.3 2022,"Picape versátil e econômica. Versão cabine plus, completa, com ar e direção. Perfeita para o trabalho.",picape,Fiat,Strada,98000,2022,2022,SP,"Av. Ibirapuera, 3000, São Paulo, 04028-002",0
IT0014,SL1212,15/01/2025,concessionário,Volvo FH 540 Globetrotter 6x4 2023,"Cavalo mecânico top de linha. Pacote de segurança completo, cabine leito teto alto. Câmbio I-Shift.",caminhão,Volvo,FH 540,950000,2023,2023,PR,"BR-116, 15000, Curitiba, 81690-100",0
IT0001,SL1234,02/01/2025,concessionário,Renault Kwid Zen 1.0 2023,"Veículo em excelente estado, com baixa quilometragem. Ideal para o dia a dia na cidade. Documentação em dia.",hatch,Renault,Kwid,58000,2023,2023,SP,"Rua Haddock Lobo, 595, São Paulo, 01414-001",0
IT0017,SL1234,17/01/2025,concessionário,Jeep Compass S 1.3 Turbo 4x4 2024,"SUV top de linha, com teto solar panorâmico, sistema de som premium e todos os assistentes de condução.",SUV,Jeep,Compass,230000,2024,2024,SP,"Rua Haddock Lobo, 595, São Paulo, 01414-001",0
IT0006,SL2109,07/01/2025,não concessionário,Jeep Renegade Longitude 1.8 2018,"Versão Longitude, flex, automático. Pneus novos e manutenção em dia. Aceito proposta coerente.",SUV,Jeep,Renegade,85000,2018,2018,SP,"Rua Augusta, 1500, São Paulo, 01304-001",0
IT0010,SL3344,11/01/2025,não concessionário,BMW 320i GP 2.0 Turbo 2020,"Sedan premium, impecável. Baixa km. Interior claro. Pneus run-flat em bom estado. Não aceito trocas.",sedan,BMW,320i,215000,2020,2020,RJ,"Rua Visconde de Pirajá, 550, Rio de Janeiro, 22410-003",0
IT0023,SL3344,21/01/2025,não concessionário,Audi A3 Sedan S-Line 2.0 TFSI 2018,"Carro para pessoas exigentes. Pacote S-Line, teto solar, motor 2.0 de 220cv. Manutenção rigorosamente em dia.",sedan,Audi,A3,155000,2018,2018,RJ,"Rua Visconde de Pirajá, 550, Rio de Janeiro, 22410-003",0
